2/13/2024 11:28:15 AM  Counts:405500
1420.618981250  0.000231148
1420.621910938  0.000230423
1420.624840625  0.000226546
1420.627770313  0.000237743
1420.630700000  0.000231835
1420.633629688  0.000229659
1420.636559375  0.000230505
1420.639489063  0.000229532
1420.642418750  0.000235964
1420.645348438  0.000227706
1420.648278125  0.000226734
1420.651207813  0.000230613
1420.654137500  0.000227120
1420.657067188  0.000236075
1420.659996875  0.000232018
1420.662926563  0.000226912
1420.665856250  0.000231681
1420.668785938  0.000229223
1420.671715625  0.000234211
1420.674645313  0.000232676
1420.677575000  0.000231132
1420.680504688  0.000229429
1420.683434375  0.000226935
1420.686364063  0.000231127
1420.689293750  0.000231832
1420.692223438  0.000227482
1420.695153125  0.000230860
1420.698082813  0.000227617
1420.701012500  0.000233930
1420.703942188  0.000232135
1420.706871875  0.000227430
1420.709801563  0.000228038
1420.712731250  0.000227146
1420.715660938  0.000230327
1420.718590625  0.000231691
1420.721520313  0.000233063
1420.724450000  0.000231160
1420.727379688  0.000224956
1420.730309375  0.000230699
1420.733239063  0.000231302
1420.736168750  0.000228149
1420.739098438  0.000231381
1420.742028125  0.000228987
1420.744957813  0.000228996
1420.747887500  0.000233402
1420.750817188  0.000230542
1420.753746875  0.000229878
1420.756676563  0.000227095
1420.759606250  0.000232750
1420.762535938  0.000230671
1420.765465625  0.000229940
1420.768395313  0.000228937
1420.771325000  0.000227942
1420.774254688  0.000228740
1420.777184375  0.000227111
1420.780114063  0.000231304
1420.783043750  0.000230979
1420.785973438  0.000226418
1420.788903125  0.000227359
1420.791832813  0.000228830
1420.794762500  0.000230383
1420.797692188  0.000228416
1420.800621875  0.000225437
1420.803551563  0.000230453
1420.806481250  0.000229022
1420.809410938  0.000227633
1420.812340625  0.000231619
1420.815270313  0.000223695
1420.818200000  0.000229884
1420.821129688  0.000232543
1420.824059375  0.000227004
1420.826989063  0.000232838
1420.829918750  0.000225287
1420.832848438  0.000228177
1420.835778125  0.000227023
1420.838707813  0.000225947
1420.841637500  0.000231657
1420.844567188  0.000227951
1420.847496875  0.000225462
1420.850426563  0.000228256
1420.853356250  0.000227174
1420.856285938  0.000228863
1420.859215625  0.000224803
1420.862145313  0.000222932
1420.865075000  0.000229697
1420.868004688  0.000227425
1420.870934375  0.000232834
1420.873864063  0.000227399
1420.876793750  0.000224572
1420.879723438  0.000226744
1420.882653125  0.000224816
1420.885582813  0.000232099
1420.888512500  0.000231003
1420.891442188  0.000224111
1420.894371875  0.000225814
1420.897301563  0.000221395
1420.900231250  0.000228160
1420.903160938  0.000229104
1420.906090625  0.000223479
1420.909020313  0.000230107
1420.911950000  0.000223554
1420.914879688  0.000234193
1420.917809375  0.000228241
1420.920739063  0.000221707
1420.923668750  0.000229737
1420.926598438  0.000224165
1420.929528125  0.000225448
1420.932457813  0.000231939
1420.935387500  0.000226099
1420.938317188  0.000226453
1420.941246875  0.000221455
1420.944176563  0.000228186
1420.947106250  0.000226871
1420.950035938  0.000223645
1420.952965625  0.000226559
1420.955895313  0.000223847
1420.958825000  0.000224973
1420.961754688  0.000230108
1420.964684375  0.000220357
1420.967614063  0.000224733
1420.970543750  0.000223009
1420.973473438  0.000224683
1420.976403125  0.000232349
1420.979332813  0.000224635
1420.982262500  0.000226140
1420.985192188  0.000224274
1420.988121875  0.000222156
1420.991051563  0.000227415
1420.993981250  0.000223551
1420.996910938  0.000226039
1420.999840625  0.000220329
1421.002770313  0.000222256
1421.005700000  0.000226208
1421.008629688  0.000223446
1421.011559375  0.000221769
1421.014489063  0.000220960
1421.017418750  0.000223713
1421.020348438  0.000226570
1421.023278125  0.000223975
1421.026207813  0.000225275
1421.029137500  0.000223852
1421.032067188  0.000222514
1421.034996875  0.000229172
1421.037926563  0.000222983
1421.040856250  0.000225918
1421.043785938  0.000224463
1421.046715625  0.000219311
1421.049645313  0.000227116
1421.052575000  0.000223855
1421.055504688  0.000227883
1421.058434375  0.000226020
1421.061364063  0.000221059
1421.064293750  0.000229097
1421.067223438  0.000225210
1421.070153125  0.000225544
1421.073082813  0.000223160
1421.076012500  0.000221095
1421.078942188  0.000228005
1421.081871875  0.000223772
1421.084801563  0.000224625
1421.087731250  0.000226788
1421.090660938  0.000220266
1421.093590625  0.000224805
1421.096520313  0.000223448
1421.099450000  0.000221803
1421.102379688  0.000226741
1421.105309375  0.000219870
1421.108239063  0.000227183
1421.111168750  0.000225168
1421.114098438  0.000223068
1421.117028125  0.000225609
1421.119957813  0.000220154
1421.122887500  0.000228200
1421.125817188  0.000225948
1421.128746875  0.000223500
1421.131676563  0.000224846
1421.134606250  0.000220676
1421.137535938  0.000221634
1421.140465625  0.000223516
1421.143395313  0.000220136
1421.146325000  0.000228386
1421.149254688  0.000220712
1421.152184375  0.000219893
1421.155114063  0.000223193
1421.158043750  0.000222382
1421.160973438  0.000221616
1421.163903125  0.000222630
1421.166832813  0.000224098
1421.169762500  0.000223879
1421.172692188  0.000222182
1421.175621875  0.000226131
1421.178551563  0.000222656
1421.181481250  0.000221331
1421.184410938  0.000226059
1421.187340625  0.000221770
1421.190270313  0.000228619
1421.193200000  0.000222153
1421.196129688  0.000222079
1421.199059375  0.000223860
1421.201989063  0.000222641
1421.204918750  0.000225915
1421.207848438  0.000225663
1421.210778125  0.000223714
1421.213707813  0.000220450
1421.216637500  0.000220952
1421.219567188  0.000224915
1421.222496875  0.000217570
1421.225426563  0.000220752
1421.228356250  0.000222937
1421.231285938  0.000223247
1421.234215625  0.000224813
1421.237145313  0.000222487
1421.240075000  0.000224395
1421.243004688  0.000221315
1421.245934375  0.000219683
1421.248864063  0.000225526
1421.251793750  0.000225201
1421.254723438  0.000222850
1421.257653125  0.000222881
1421.260582813  0.000219800
1421.263512500  0.000223636
1421.266442188  0.000218894
1421.269371875  0.000220587
1421.272301563  0.000224913
1421.275231250  0.000216785
1421.278160938  0.000227161
1421.281090625  0.000223436
1421.284020313  0.000220679
1421.286950000  0.000224512
1421.289879688  0.000218226
1421.292809375  0.000223517
1421.295739063  0.000225156
1421.298668750  0.000221727
1421.301598438  0.000224434
1421.304528125  0.000218334
1421.307457813  0.000222928
1421.310387500  0.000222862
1421.313317188  0.000218620
1421.316246875  0.000222786
1421.319176563  0.000219596
1421.322106250  0.000221566
1421.325035938  0.000225906
1421.327965625  0.000218040
1421.330895313  0.000227062
1421.333825000  0.000221782
1421.336754688  0.000221195
1421.339684375  0.000227064
1421.342614063  0.000221956
1421.345543750  0.000226085
1421.348473438  0.000220182
1421.351403125  0.000221758
1421.354332813  0.000226587
1421.357262500  0.000221900
1421.360192188  0.000228962
1421.363121875  0.000221395
1421.366051563  0.000220581
1421.368981250  0.000227993
1421.371910938  0.000219317
1421.374840625  0.000219657
1421.377770313  0.000221743
1421.380700000  0.000221722
1421.383629688  0.000224838
1421.386559375  0.000219462
1421.389489063  0.000222428
1421.392418750  0.000226455
1421.395348438  0.000217849
1421.398278125  0.000226167
1421.401207813  0.000219133
1421.404137500  0.000224952
1421.407067188  0.000223050
1421.409996875  0.000218013
1421.412926563  0.000221564
1421.415856250  0.000222490
1421.418785938  0.000221636
1421.421715625  0.000222856
1421.424645313  0.000218891
1421.427575000  0.000224701
1421.430504688  0.000220828
1421.433434375  0.000219574
1421.436364063  0.000219267
1421.439293750  0.000218357
1421.442223438  0.000221500
1421.445153125  0.000220994
1421.448082813  0.000221180
1421.451012500  0.000225143
1421.453942188  0.000219947
1421.456871875  0.000219916
1421.459801563  0.000220459
1421.462731250  0.000219868
1421.465660938  0.000224082
1421.468590625  0.000219569
1421.471520313  0.000222279
1421.474450000  0.000222474
1421.477379688  0.000221478
1421.480309375  0.000221755
1421.483239063  0.000221626
1421.486168750  0.000225047
1421.489098438  0.000221055
1421.492028125  0.000221537
1421.494957813  0.000220197
1421.497887500  0.000220724
1421.500817188  0.000220748
1421.503746875  0.000220334
1421.506676563  0.000222216
1421.509606250  0.000222042
1421.512535938  0.000220369
1421.515465625  0.000223418
1421.518395313  0.000220005
1421.521325000  0.000221253
1421.524254688  0.000217523
1421.527184375  0.000218202
1421.530114063  0.000223020
1421.533043750  0.000220885
1421.535973438  0.000221710
1421.538903125  0.000223864
1421.541832813  0.000217624
1421.544762500  0.000225472
1421.547692188  0.000224987
1421.550621875  0.000219481
1421.553551563  0.000225396
1421.556481250  0.000219573
1421.559410938  0.000224020
1421.562340625  0.000220413
1421.565270313  0.000218883
1421.568200000  0.000225352
1421.571129688  0.000218383
1421.574059375  0.000222078
1421.576989063  0.000220539
1421.579918750  0.000221353
1421.582848438  0.000223216
1421.585778125  0.000216434
1421.588707813  0.000221431
1421.591637500  0.000222788
1421.594567188  0.000219880
1421.597496875  0.000225532
1421.600426563  0.000221130
1421.603356250  0.000221593
1421.606285938  0.000225348
1421.609215625  0.000219937
1421.612145313  0.000225208
1421.615075000  0.000220641
1421.618004688  0.000219244
1421.620934375  0.000219139
1421.623864063  0.000216008
1421.626793750  0.000221089
1421.629723438  0.000217760
1421.632653125  0.000216974
1421.635582813  0.000224180
1421.638512500  0.000217399
1421.641442188  0.000285095
1421.644371875  0.000222843
1421.647301563  0.000217846
1421.650231250  0.000223967
1421.653160938  0.000219377
1421.656090625  0.000220520
1421.659020313  0.000222715
1421.661950000  0.000218697
1421.664879688  0.000223706
1421.667809375  0.000214242
1421.670739063  0.000221242
1421.673668750  0.000220610
1421.676598438  0.000215195
1421.679528125  0.000222174
1421.682457813  0.000219161
1421.685387500  0.000219184
1421.688317188  0.000223945
1421.691246875  0.000219230
1421.694176563  0.000221065
1421.697106250  0.000219008
1421.700035938  0.000219916
1421.702965625  0.000222076
1421.705895313  0.000217335
1421.708825000  0.000221536
1421.711754688  0.000218645
1421.714684375  0.000217781
1421.717614063  0.000222290
1421.720543750  0.000219963
1421.723473438  0.000218636
1421.726403125  0.000217417
1421.729332813  0.000223003
1421.732262500  0.000222451
1421.735192188  0.000217117
1421.738121875  0.000218292
1421.741051563  0.000218027
1421.743981250  0.000219633
1421.746910938  0.000220474
1421.749840625  0.000222673
1421.752770313  0.000222418

